Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres,Total_Profit,Ticket Quantity
2022-11-16,Phenomenal Women: An evening with tap dancer and choreographer Ayodele Casel,118.0,92,12,254,Phenomenal Women,Yes,80,Arts & Culture,1200.0,252
2022-10-14,"Phenomenal Women: How Deborah Torres turned down ""Shark Tank"" and changed the vegan fried chicken market",162.0,69,0,254,Phenomenal Women,Yes,69,Business,140.0,221
2022-04-11,Phenomenal Women: Katie Rae,106.0,58,5,254,Phenomenal Women,Yes,53,Business,180.0,180
2022-11-15,Phenomenal Women: Newsroom confidential with journalists Margaret Sullivan and Eileen McNamara,94.0,66,19,254,Phenomenal Women,Yes,47,Journalism & Media,595.0,283
2022-05-16,Phenomenal Women: Pardis Sabeti and Aoife Brennan,12.0,7,7,254,Phenomenal Women,Yes,0,Science,135.0,24
2023-09-09,Poet Robert Pinsky presents “Proverbs of Limbo”,250.0,230,10,254,Phenomenal Women,Yes,220,Entertainment,3275.0,801
2022-06-21,Youth Takeover: The missing student voices on gun control and school safety,10.0,9,9,254,Politics,No,0,Social Issues,0.0,9
2019-08-08,David Byrne,131.0,231,0,254,Politics,Yes,231,Arts & Culture,4587.5,248
2021-09-09,2021 Boston Mayoral Debate,1140.0,1441,1441,254,Politics,No,0,Politics,0.0,1010
2022-08-10,2022 Mass. attorney general primary debate,238.0,237,177,254,Politics,No,60,Politics,0.0,215
2022-08-16,2022 Mass. lieutenant govenor primary debate: Democrats,93.0,161,143,254,Politics,No,18,Politics,0.0,98
2022-08-15,2022 Mass. lieutenant govenor primary debate: Republicans,55.0,88,59,254,Politics,No,29,Politics,0.0,61
2019-12-12,Decorating The People's House,96.0,63,0,254,Politics,No,63,Politics,828.0,186
2023-09-26,Democracy Awakening: historian Heather Cox Richardson on the state of America,365.0,386,158,254,Politics,Yes,228,Politics,10670.0,503
2023-02-21,Democracy under threat: Former CNN chief media correspondent Brian Stelter on the news industry’s future,121.0,99,31,254,Politics,Yes,68,Journalism & Media,730.0,108
2023-10-04,Differ We Must: Morning Edition host Steve Inskeep on Lincoln's success in a divided America,91.0,69,0,254,Politics,Yes,69,Politics,1300.0,127
2021-05-06,President Biden's Earth Day Summit: What It Means For Massachusetss,270.0,87,0,254,Politics,No,87,Climate,0.0,237
2022-02-24,The Great Wager: President Nixon's 1972 risky visit to China and the art it inspired,216.0,109,53,254,Politics,No,56,Politics,15.0,360
2023-10-03,The Last Politician: The Atlantic's Franklin Foer on Joe Biden’s White House,54.0,49,0,254,Politics,Yes,49,Politics,760.0,92
2020-02-13,WBUR and The Washington Post Present: Unprecented Presidents,88.0,65,0,254,Politics,No,65,Politics,1064.0,162
2019-11-05,A Year Ahead: The 2020 Presidential Campaign,189.0,111,0,254,Politics,No,111,Politics,0.0,362
2022-10-12,Confidence Man: New York Times reporter Maggie Haberman’s newsmaking book on President Donald Trump,402.0,292,114,254,Politics,No,178,Politics,2905.0,413
2019-10-22,Radio Boston Live: City Council Debate,105.0,123,0,254,Radio Boston,No,123,Politics,0.0,131
2023-11-09,Freakonomics Radio Live,241.0,209,0,254,Radio Boston,No,209,Psychology,4012.5,435
2019-04-05,Radio Boston Live,26.0,15,0,254,Radio Boston,No,15,Journalism & Media,0.0,58
